name,percentage_positive_review,review_qualification,all_reviews
Let's Split Up (A Visual Novel),-1,,"3 user reviews,- Need more user reviews to generate a score"
NIGHT FALLEN,-1,,"4 user reviews,- Need more user reviews to generate a score"
Land of Puzzles: Elven Princess,-1,,"3 user reviews,- Need more user reviews to generate a score"
The Janitor,20,Mostly Negative,"Mostly Negative,(25),- 20% of the 25 user reviews for this game are positive."
Under The War,27,Mostly Negative,"Mostly Negative,(11),- 27% of the 11 user reviews for this game are positive."
70 Seconds Survival,-1,,"5 user reviews,- Need more user reviews to generate a score"
RollTheEarth,-1,,"3 user reviews,- Need more user reviews to generate a score"
UniteStar,-1,,"3 user reviews,- Need more user reviews to generate a score"
Hardcore Weapon Challenge - FPS Action,-1,,"6 user reviews,- Need more user reviews to generate a score"
Heroes of SoulCraft - Arcade MOBA,39,Mostly Negative,"Mostly Negative,(484),- 39% of the 484 user reviews for this game are positive."
Frontline : Longest Day,27,Mostly Negative,"Mostly Negative,(11),- 27% of the 11 user reviews for this game are positive."
CHAOS - In the Darkness,33,Mostly Negative,"Mostly Negative,(27),- 33% of the 27 user reviews for this game are positive."
Modding Tool add-on for Rulers of Nations,-1,,"5 user reviews,- Need more user reviews to generate a score"
Starion Tactics,27,Mostly Negative,"Mostly Negative,(44),- 27% of the 44 user reviews for this game are positive."
Spellcrafter,32,Mostly Negative,"Mostly Negative,(50),- 32% of the 50 user reviews for this game are positive."
The Escapist,-1,,"4 user reviews,- Need more user reviews to generate a score"
Devil May Cry 5 - 300000 Red Orbs,-1,,"3 user reviews,- Need more user reviews to generate a score"
Daytona Racing,-1,,"5 user reviews,- Need more user reviews to generate a score"
Ghostbusters VR: Showdown,-1,,"8 user reviews,- Need more user reviews to generate a score"
Epic Game Theory,-1,,"5 user reviews,- Need more user reviews to generate a score"
Pixel Royale,30,Mostly Negative,"Mostly Negative,(10),- 30% of the 10 user reviews for this game are positive."
Tiestru,28,Mostly Negative,"Mostly Negative,(14),- 28% of the 14 user reviews for this game are positive."
Wallpaper Builder,33,Mostly Negative,"Mostly Negative,(15),- 33% of the 15 user reviews for this software are positive."
REVERSE SIDE,39,Mostly Negative,"Mostly Negative,(87),- 39% of the 87 user reviews for this game are positive."
Siberian Dawn,30,Mostly Negative,"Mostly Negative,(10),- 30% of the 10 user reviews for this game are positive."
The War of the Worlds: Andromeda,-1,,"9 user reviews,- Need more user reviews to generate a score"
Battle royale simulator,30,Mostly Negative,"Mostly Negative,(13),- 30% of the 13 user reviews for this game are positive."
Shoemaker,-1,,"5 user reviews,- Need more user reviews to generate a score"
The Battle for Sector 219,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this game are positive."
Rite of Passage Collection,-1,,
RPG Maker MV - Time Fantasy,-1,,"6 user reviews,- Need more user reviews to generate a score"
Fairy Fencer F ADF Fairy Set 2: Aques and Drulger | 妖聖セット２『アクエス』『ドルルガー』 | 妖聖套組２「阿克耶斯」「特魯魯格」,-1,,"3 user reviews,- Need more user reviews to generate a score"
Infinitum,26,Mostly Negative,"Mostly Negative,(15),- 26% of the 15 user reviews for this game are positive."
Final Quest II,38,Mostly Negative,"Mostly Negative,(36),- 38% of the 36 user reviews for this game are positive."
The Last Hope: Trump vs Mafia - North Korea,36,Mostly Negative,"Mostly Negative,(90),- 36% of the 90 user reviews for this game are positive."
Ball of Light,28,Mostly Negative,"Mostly Negative,(21),- 28% of the 21 user reviews for this game are positive."
Freedom: A Time to Reckon,-1,,"3 user reviews,- Need more user reviews to generate a score"
Woodcutter Simulator 2013,22,Mostly Negative,"Mostly Negative,(222),- 22% of the 222 user reviews for this game are positive."
Vault Resort,-1,,"3 user reviews,- Need more user reviews to generate a score"
Archangel,20,Mostly Negative,"Mostly Negative,(10),- 20% of the 10 user reviews for this game are positive."
Be Quiet!,-1,,"4 user reviews,- Need more user reviews to generate a score"
Black Shark 2: Republic Campaign,30,Mostly Negative,"Mostly Negative,(13),- 30% of the 13 user reviews for this game are positive."
Metaverse,39,Mostly Negative,"Mostly Negative,(64),- 39% of the 64 user reviews for this game are positive."
"RTK13WPK - Added Bonus, Original Event ""The Other Three Kingdoms"" ""The Return of Xu Shu"" 追加特典オリジナルイベント②「裏・三國志」「徐庶の戦い」",-1,,"6 user reviews,- Need more user reviews to generate a score"
Armored Freedom,-1,,"9 user reviews,- Need more user reviews to generate a score"
Kingdom City Drowning Episode 1 - The Champion,33,Mostly Negative,"Mostly Negative,(12),- 33% of the 12 user reviews for this game are positive."
Bayou Island - Point and Click Adventure,38,Mostly Negative,"Mostly Negative,(26),- 38% of the 26 user reviews for this game are positive."
VEGAS DVD Architect Steam Edition,-1,,"7 user reviews,- Need more user reviews to generate a score"
Tom Clancy's The Division™ - Last Stand,33,Mostly Negative,"Mostly Negative,(296),- 33% of the 296 user reviews for this game are positive."
The story of Gods 七神物语,-1,,"6 user reviews,- Need more user reviews to generate a score"
Magazine Editor,37,Mostly Negative,"Mostly Negative,(56),- 37% of the 56 user reviews for this game are positive."
You Are God,21,Mostly Negative,"Mostly Negative,(23),- 21% of the 23 user reviews for this game are positive."
Club Manager 2016 - Upgrade to Club Manager 2017,-1,,"5 user reviews,- Need more user reviews to generate a score"
The Fog,20,Mostly Negative,"Mostly Negative,(10),- 20% of the 10 user reviews for this game are positive."
JigsawMania,-1,,"3 user reviews,- Need more user reviews to generate a score"
Soldier of Failure 2,26,Mostly Negative,"Mostly Negative,(15),- 26% of the 15 user reviews for this game are positive."
EVE Online: Invasion Starter Pack,-1,,"7 user reviews,- Need more user reviews to generate a score"
Yume Puzzle,-1,,"3 user reviews,- Need more user reviews to generate a score"
Quiet Sleep,21,Mostly Negative,"Mostly Negative,(14),- 21% of the 14 user reviews for this game are positive."
Where the Bees Make Honey,-1,,"4 user reviews,- Need more user reviews to generate a score"
Solitaire Mystery: Four Seasons,-1,,"4 user reviews,- Need more user reviews to generate a score"
Bang Bang Fruit 2,34,Mostly Negative,"Mostly Negative,(38),- 34% of the 38 user reviews for this game are positive."
FSX Steam Edition: Curtiss C-46 Commando Add-On,-1,,"4 user reviews,- Need more user reviews to generate a score"
Anxiety,-1,,"5 user reviews,- Need more user reviews to generate a score"
Stickman Annihilation 2,-1,,"3 user reviews,- Need more user reviews to generate a score"
Hooligan Vasja: Christmas,33,Mostly Negative,"Mostly Negative,(33),- 33% of the 33 user reviews for this game are positive."
Hiking Simulator 2017,22,Mostly Negative,"Mostly Negative,(18),- 22% of the 18 user reviews for this game are positive."
Raid On Coasts,-1,,"3 user reviews,- Need more user reviews to generate a score"
Symbiotic Overload Pack,-1,,
Glasswinged Ascension,20,Mostly Negative,"Mostly Negative,(10),- 20% of the 10 user reviews for this game are positive."
Super Mr. Kake,-1,,"4 user reviews,- Need more user reviews to generate a score"
The Brave Mouse,34,Mostly Negative,"Mostly Negative,(43),- 34% of the 43 user reviews for this game are positive."
Ameline and the Ultimate Burger,-1,,"4 user reviews,- Need more user reviews to generate a score"
Squadron: Sky Guardians,-1,,"5 user reviews,- Need more user reviews to generate a score"
Bio Soup,34,Mostly Negative,"Mostly Negative,(46),- 34% of the 46 user reviews for this game are positive."
Home Architect - Design your floor plans in 3D,-1,,"3 user reviews,- Need more user reviews to generate a score"
Piece of Memory,-1,,"9 user reviews,- Need more user reviews to generate a score"
Survival Driver,33,Mostly Negative,"Mostly Negative,(12),- 33% of the 12 user reviews for this game are positive."
Age of Heroes (VR),34,Mostly Negative,"Mostly Negative,(35),- 34% of the 35 user reviews for this game are positive."
MORTEM,-1,,"9 user reviews,- Need more user reviews to generate a score"
Leylines,-1,,"8 user reviews,- Need more user reviews to generate a score"
Additional Costume: 16-Piece Set,-1,,
Black River,27,Mostly Negative,"Mostly Negative,(11),- 27% of the 11 user reviews for this game are positive."
Operation swat,30,Mostly Negative,"Mostly Negative,(23),- 30% of the 23 user reviews for this game are positive."
House of Meditation,-1,,"9 user reviews,- Need more user reviews to generate a score"
Breaking Bones,-1,,"3 user reviews,- Need more user reviews to generate a score"
Tower Ascent,-1,,"3 user reviews,- Need more user reviews to generate a score"
Red Barton and The Sky Pirates,-1,,"3 user reviews,- Need more user reviews to generate a score"
InfinitasDM,38,Mostly Negative,"Mostly Negative,(26),- 38% of the 26 user reviews for this game are positive."
Sky Climbers,-1,,"3 user reviews,- Need more user reviews to generate a score"
"RTK13WPK - Official added events④, Eiji Yoshikawa ""Lu Bu's Peace"", ""Hero or Coward"" and ""Death of Cao Cao"" 追加特典オリジナルイベント④吉川英治「平和主義者」「雷怯子」「曹操死す」",-1,,"8 user reviews,- Need more user reviews to generate a score"
Bombinator,33,Mostly Negative,"Mostly Negative,(96),- 33% of the 96 user reviews for this game are positive."
Fear the Dead,-1,,"3 user reviews,- Need more user reviews to generate a score"
VR Chair Games,-1,,"5 user reviews,- Need more user reviews to generate a score"
Zarya and the Cursed Skull,-1,,"3 user reviews,- Need more user reviews to generate a score"
Soldiers Of Freedom,20,Mostly Negative,"Mostly Negative,(15),- 20% of the 15 user reviews for this game are positive."
"House Dating VR: Cute Korean Girl, Sehyun",-1,,"6 user reviews,- Need more user reviews to generate a score"
Stary,-1,,"9 user reviews,- Need more user reviews to generate a score"
Forest Guardian,32,Mostly Negative,"Mostly Negative,(31),- 32% of the 31 user reviews for this game are positive."
A Nova Califórnia,-1,,"3 user reviews,- Need more user reviews to generate a score"
Tower of Lust,24,Mostly Negative,"Mostly Negative,(69),- 24% of the 69 user reviews for this game are positive."
Planescape: Torment: Enhanced Edition Official Soundtrack,-1,,"3 user reviews,- Need more user reviews to generate a score"
Hollow,38,Mostly Negative,"Mostly Negative,(174),- 38% of the 174 user reviews for this game are positive."
New Frontier Days ~Founding Pioneers~,33,Mostly Negative,"Mostly Negative,(21),- 33% of the 21 user reviews for this game are positive."
EARP,-1,,"7 user reviews,- Need more user reviews to generate a score"
Grim Facade: Mystery of Venice Collector’s Edition,-1,,"4 user reviews,- Need more user reviews to generate a score"
TS Marketplace: Chessie Systems GP30 Livery Add-On,-1,,"4 user reviews,- Need more user reviews to generate a score"
Skylands,-1,,"9 user reviews,- Need more user reviews to generate a score"
AereA,21,Mostly Negative,"Mostly Negative,(14),- 21% of the 14 user reviews for this game are positive."
Arcade Tale,36,Mostly Negative,"Mostly Negative,(112),- 36% of the 112 user reviews for this game are positive."
Neurowake,-1,,"3 user reviews,- Need more user reviews to generate a score"
Store Manager: Cellular Edition,33,Mostly Negative,"Mostly Negative,(42),- 33% of the 42 user reviews for this game are positive."
Bootombaa,39,Mostly Negative,"Mostly Negative,(89),- 39% of the 89 user reviews for this game are positive."
Chess: King of Crowns Chess Online,-1,,"3 user reviews,- Need more user reviews to generate a score"
The Frost,25,Mostly Negative,"Mostly Negative,(12),- 25% of the 12 user reviews for this game are positive."
FSX Steam Edition: Piper PA-28R Arrow III Add-On,-1,,"5 user reviews,- Need more user reviews to generate a score"
NitroRage,38,Mostly Negative,"Mostly Negative,(34),- 38% of the 34 user reviews for this game are positive."
RPG Maker VX Ace - Ancient Dungeons: Jungle,-1,,"3 user reviews,- Need more user reviews to generate a score"
MXGP3 - Monster Energy SMX Riders Cup,28,Mostly Negative,"Mostly Negative,(14),- 28% of the 14 user reviews for this game are positive."
Marvel vs. Capcom: Infinite - Character Pass,23,Mostly Negative,"Mostly Negative,(13),- 23% of the 13 user reviews for this game are positive."
X-Plane 11 - Add-on: Aerosoft - Airport Southwest Florida Intl.,-1,,"4 user reviews,- Need more user reviews to generate a score"
Wisdom of War,-1,,"5 user reviews,- Need more user reviews to generate a score"
CRAFT BATTLE SIMULATOR,-1,,"8 user reviews,- Need more user reviews to generate a score"
Phobia,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
Reckless Space Pirates,-1,,"3 user reviews,- Need more user reviews to generate a score"
City Z,27,Mostly Negative,"Mostly Negative,(11),- 27% of the 11 user reviews for this game are positive."
Mustdashe,-1,,"6 user reviews,- Need more user reviews to generate a score"
Triple Otakus Puzzle,28,Mostly Negative,"Mostly Negative,(25),- 28% of the 25 user reviews for this game are positive."
Monopolka,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
Druid's Tale: Crystal Cave,-1,,"3 user reviews,- Need more user reviews to generate a score"
ReallyGoodBattle,-1,,"3 user reviews,- Need more user reviews to generate a score"
The Battle Of Mahjong,-1,,"9 user reviews,- Need more user reviews to generate a score"
Run Crabby Run - adventure,-1,,"3 user reviews,- Need more user reviews to generate a score"
Forgotten Land,31,Mostly Negative,"Mostly Negative,(51),- 31% of the 51 user reviews for this game are positive."
Modest Kind,-1,,"7 user reviews,- Need more user reviews to generate a score"
Train Simulator: Köln Airport Link Route Extension Add-On,26,Mostly Negative,"Mostly Negative,(41),- 26% of the 41 user reviews for this game are positive."
Only One Hope,35,Mostly Negative,"Mostly Negative,(31),- 35% of the 31 user reviews for this game are positive."
The Albatross,21,Mostly Negative,"Mostly Negative,(14),- 21% of the 14 user reviews for this game are positive."
Triangle,26,Mostly Negative,"Mostly Negative,(30),- 26% of the 30 user reviews for this game are positive."
News Tycoon,38,Mostly Negative,"Mostly Negative,(101),- 38% of the 101 user reviews for this game are positive."
Nash Racing,37,Mostly Negative,"Mostly Negative,(53),- 37% of the 53 user reviews for this game are positive."
Sharpe Investigations: Death on the Seine,33,Mostly Negative,"Mostly Negative,(12),- 33% of the 12 user reviews for this game are positive."
Paradigm Shift,20,Mostly Negative,"Mostly Negative,(20),- 20% of the 20 user reviews for this game are positive."
Real Horror Stories Ultimate Edition,38,Mostly Negative,"Mostly Negative,(922),- 38% of the 922 user reviews for this game are positive."
Jagged Alliance: Back in Action DLC: Urban Specialist Kit,-1,,"6 user reviews,- Need more user reviews to generate a score"
Tunnel Rats,34,Mostly Negative,"Mostly Negative,(26),- 34% of the 26 user reviews for this game are positive."
HIS (Heroes In the Sky),38,Mostly Negative,"Mostly Negative,(498),- 38% of the 498 user reviews for this game are positive."
Don't Look Back,-1,,"6 user reviews,- Need more user reviews to generate a score"
Star Rangers™ XE,33,Mostly Negative,"Mostly Negative,(115),- 33% of the 115 user reviews for this game are positive."
Project of the Developer,20,Mostly Negative,"Mostly Negative,(10),- 20% of the 10 user reviews for this game are positive."
Village Story,35,Mostly Negative,"Mostly Negative,(17),- 35% of the 17 user reviews for this game are positive."
WarMages,-1,,"8 user reviews,- Need more user reviews to generate a score"
Trove - Hearty Party Pack 1,-1,,"7 user reviews,- Need more user reviews to generate a score"
Rise of Man,25,Mostly Negative,"Mostly Negative,(110),- 25% of the 110 user reviews for this game are positive."
Just Cause 4 Digital Deluxe Edition,-1,,
MAGIX Video deluxe 2018 Steam Edition,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this software are positive."
Wolfenstein II: The Freedom Chronicles - Episode 2,27,Mostly Negative,"Mostly Negative,(59),- 27% of the 59 user reviews for this game are positive."
Wolfenstein II: The Freedom Chronicles - Episode 1,32,Mostly Negative,"Mostly Negative,(111),- 32% of the 111 user reviews for this game are positive."
Dead Alliance™,29,Mostly Negative,"Mostly Negative,(57),- 29% of the 57 user reviews for this game are positive."
RUN,-1,,"3 user reviews,- Need more user reviews to generate a score"
Awesome Machine,-1,,"8 user reviews,- Need more user reviews to generate a score"
VRtender,27,Mostly Negative,"Mostly Negative,(11),- 27% of the 11 user reviews for this game are positive."
Train Simulator: Shanghai Maglev Route Add-On,32,Mostly Negative,"Mostly Negative,(53),- 32% of the 53 user reviews for this game are positive."
Pixel Puzzles Ultimate: Autumn Jigsaw Collection,-1,,
Arcane Raise - Booster Pack,-1,,"3 user reviews,- Need more user reviews to generate a score"
- Arcane Raise -,34,Mostly Negative,"Mostly Negative,(73),- 34% of the 73 user reviews for this game are positive."
[Complete Pack] Falco Software - Studio Pack,-1,,
Star Hunter VR,-1,,"5 user reviews,- Need more user reviews to generate a score"
Gold Rush! 2,-1,,"4 user reviews,- Need more user reviews to generate a score"
Cannons Lasers Rockets,24,Mostly Negative,"Mostly Negative,(533),- 24% of the 533 user reviews for this game are positive."
CarX Drift Racing Online - Drift War,-1,,"3 user reviews,- Need more user reviews to generate a score"
Train Simulator: First Capital Connect Class 321 EMU Add-On,26,Mostly Negative,"Mostly Negative,(30),- 26% of the 30 user reviews for this game are positive."
Zuma Legend VR,-1,,"5 user reviews,- Need more user reviews to generate a score"
RIDE 3 - Best of 2018 Pack 1,-1,,"4 user reviews,- Need more user reviews to generate a score"
Carcassonne - The Princess & the Dragon Expansion,-1,,"3 user reviews,- Need more user reviews to generate a score"
BlueFear,-1,,"9 user reviews,- Need more user reviews to generate a score"
Longest Monday: Unveiling,-1,,"6 user reviews,- Need more user reviews to generate a score"
Helicopter Flight Simulator,-1,,"4 user reviews,- Need more user reviews to generate a score"
Reality Blender,-1,,"8 user reviews,- Need more user reviews to generate a score"
INSECT HAZARD,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this game are positive."
Bionic Attack,-1,,"3 user reviews,- Need more user reviews to generate a score"
Kuro survival,-1,,"8 user reviews,- Need more user reviews to generate a score"
RPG Maker MV - Elemental Dungeons Tiles,-1,,"6 user reviews,- Need more user reviews to generate a score"
Phantom,39,Mostly Negative,"Mostly Negative,(136),- 39% of the 136 user reviews for this game are positive."
Secret World Legends: Supernatural Bundle,26,Mostly Negative,"Mostly Negative,(15),- 26% of the 15 user reviews for this game are positive."
"RTK13WPK - Tie-up with Kihachiro Kawamoto's ""Sangokushi"" Dolls Officer Graphic Set ⑥ 川本喜八郎 三国志人形タイアップ武将CGセット⑥",-1,,"3 user reviews,- Need more user reviews to generate a score"
"RTK13WPK - Tie-up with Kihachiro Kawamoto's ""Sanguozhi"" Dolls  Officer Graphic Set ② 川本喜八郎 三国志人形タイアップ武将CGセット②",-1,,"3 user reviews,- Need more user reviews to generate a score"
RE:HT - War of the Human Tanks Remix Album,-1,,"3 user reviews,- Need more user reviews to generate a score"
冒险村传说（Tales of Legends）,35,Mostly Negative,"Mostly Negative,(14),- 35% of the 14 user reviews for this game are positive."
Lost Base Escape,31,Mostly Negative,"Mostly Negative,(86),- 31% of the 86 user reviews for this game are positive."
365 Days,28,Mostly Negative,"Mostly Negative,(21),- 28% of the 21 user reviews for this game are positive."
Where is my Brain!?,-1,,"4 user reviews,- Need more user reviews to generate a score"
Conqueror's Blade - Immortal Warlord Collector's Pack,36,Mostly Negative,"Mostly Negative,(46),- 36% of the 46 user reviews for this game are positive."
Faraway Islands,-1,,"7 user reviews,- Need more user reviews to generate a score"
Lord of the click,37,Mostly Negative,"Mostly Negative,(29),- 37% of the 29 user reviews for this game are positive."
Ultimate Level 80 Bundle,-1,,"6 user reviews,- Need more user reviews to generate a score"
VALENS,27,Mostly Negative,"Mostly Negative,(11),- 27% of the 11 user reviews for this game are positive."
Orc Hunter VR,33,Mostly Negative,"Mostly Negative,(15),- 33% of the 15 user reviews for this game are positive."
VR Boxing Workout,-1,,"8 user reviews,- Need more user reviews to generate a score"
Rocksmith® 2014 – Rocksmith Goes to the Movies,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
Beyond The Destiny,23,Mostly Negative,"Mostly Negative,(17),- 23% of the 17 user reviews for this game are positive."
Medieval Playground,28,Mostly Negative,"Mostly Negative,(14),- 28% of the 14 user reviews for this game are positive."
VR Flight Simulator New York - Cessna,38,Mostly Negative,"Mostly Negative,(18),- 38% of the 18 user reviews for this game are positive."
Call to 10,37,Mostly Negative,"Mostly Negative,(29),- 37% of the 29 user reviews for this game are positive."
Blackwater Bayou VR,31,Mostly Negative,"Mostly Negative,(58),- 31% of the 58 user reviews for this game are positive."
Australian Football Coach,-1,,"8 user reviews,- Need more user reviews to generate a score"
Space Badminton VR,-1,,"6 user reviews,- Need more user reviews to generate a score"
Paladins - Season Pass 2019,35,Mostly Negative,"Mostly Negative,(65),- 35% of the 65 user reviews for this game are positive."
Dead Purge: Outbreak,37,Mostly Negative,"Mostly Negative,(45),- 37% of the 45 user reviews for this game are positive."
Dark Mystery,-1,,"8 user reviews,- Need more user reviews to generate a score"
Red Bull 360,-1,,"3 user reviews,- Need more user reviews to generate a score"
Audio Editor,-1,,"6 user reviews,- Need more user reviews to generate a score"
SPACE BATTLE: Humanity - casual strategy sci-fi,25,Mostly Negative,"Mostly Negative,(12),- 25% of the 12 user reviews for this game are positive."
Ragnarok RE:START,37,Mostly Negative,"Mostly Negative,(187),- 37% of the 187 user reviews for this game are positive."
Space Scumbags,-1,,"7 user reviews,- Need more user reviews to generate a score"
Imperatum,25,Mostly Negative,"Mostly Negative,(12),- 25% of the 12 user reviews for this game are positive."
Dark Egypt,22,Mostly Negative,"Mostly Negative,(18),- 22% of the 18 user reviews for this game are positive."
Rain of Pumpkins,-1,,"3 user reviews,- Need more user reviews to generate a score"
CrazyCar,-1,,"8 user reviews,- Need more user reviews to generate a score"
Skyfall,25,Mostly Negative,"Mostly Negative,(16),- 25% of the 16 user reviews for this game are positive."
Dunia: Masters,-1,,"6 user reviews,- Need more user reviews to generate a score"
Castle Defender,-1,,"3 user reviews,- Need more user reviews to generate a score"
Deep Horizon,-1,,"3 user reviews,- Need more user reviews to generate a score"
Tyranny - Bastard's Wound,38,Mostly Negative,"Mostly Negative,(110),- 38% of the 110 user reviews for this game are positive."
Envoy 2,38,Mostly Negative,"Mostly Negative,(105),- 38% of the 105 user reviews for this game are positive."
Bullyparade - DER Spiel,-1,,"3 user reviews,- Need more user reviews to generate a score"
The Tritan Initiative,34,Mostly Negative,"Mostly Negative,(55),- 34% of the 55 user reviews for this game are positive."
Sorcerer's Dream,-1,,"5 user reviews,- Need more user reviews to generate a score"
Wonfourn,-1,,"7 user reviews,- Need more user reviews to generate a score"
Hooligan Vasja: Halloween,35,Mostly Negative,"Mostly Negative,(37),- 35% of the 37 user reviews for this game are positive."
Panzer Killer,-1,,"4 user reviews,- Need more user reviews to generate a score"
Insectophobia : Episode 1,35,Mostly Negative,"Mostly Negative,(17),- 35% of the 17 user reviews for this game are positive."
Last Answer,29,Mostly Negative,"Mostly Negative,(47),- 29% of the 47 user reviews for this game are positive."
Tom Clancy’s Ghost Recon® Wildlands - Season Pass Year 1,32,Mostly Negative,"Mostly Negative,(469),- 32% of the 469 user reviews for this game are positive."
RPG Maker MV - Samurai Classics: Temple of Darkness,-1,,"3 user reviews,- Need more user reviews to generate a score"
THOSE DAMN ALIENS! VR,-1,,"8 user reviews,- Need more user reviews to generate a score"
Evil,35,Mostly Negative,"Mostly Negative,(45),- 35% of the 45 user reviews for this game are positive."
The Trials of Olympus 1-3 Bundle,-1,,
Roarr! - Jurassic Edition,-1,,
Sons of Triskelion,-1,,"8 user reviews,- Need more user reviews to generate a score"
Peak Angle: Drift Online - Japan Cars Pack,-1,,"7 user reviews,- Need more user reviews to generate a score"
Solitaire,38,Mostly Negative,"Mostly Negative,(21),- 38% of the 21 user reviews for this game are positive."
Brick Breaker,33,Mostly Negative,"Mostly Negative,(18),- 33% of the 18 user reviews for this game are positive."
Spot Girls Difference,-1,,"7 user reviews,- Need more user reviews to generate a score"
Electroquest: Resistance is Futile,-1,,"7 user reviews,- Need more user reviews to generate a score"
DragonWingsVR,20,Mostly Negative,"Mostly Negative,(10),- 20% of the 10 user reviews for this game are positive."
The 8th Day,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this game are positive."
Salvage Op,-1,,"9 user reviews,- Need more user reviews to generate a score"
TS Marketplace: North Jersey Coast & Morristown Lines Scenario Pack 01 Add-On,-1,,"3 user reviews,- Need more user reviews to generate a score"
Shot Shot Tactic,-1,,"6 user reviews,- Need more user reviews to generate a score"
Train Simulator: London Transport Heritage Collection,33,Mostly Negative,"Mostly Negative,(21),- 33% of the 21 user reviews for this game are positive."
Smoots Tennis Survival Zombie,-1,,"3 user reviews,- Need more user reviews to generate a score"
Global Adventures,38,Mostly Negative,"Mostly Negative,(168),- 38% of the 168 user reviews for this game are positive."
Space Hotel,34,Mostly Negative,"Mostly Negative,(46),- 34% of the 46 user reviews for this game are positive."
South Park™: The Fractured But Whole™ - Towelie: Your Gaming Bud,30,Mostly Negative,"Mostly Negative,(128),- 30% of the 128 user reviews for this game are positive."
Werther Quest,-1,,"3 user reviews,- Need more user reviews to generate a score"
Timber! The Logging Experts,33,Mostly Negative,"Mostly Negative,(15),- 33% of the 15 user reviews for this game are positive."
PhysDrive,38,Mostly Negative,"Mostly Negative,(50),- 38% of the 50 user reviews for this game are positive."
Paranormal Teens,32,Mostly Negative,"Mostly Negative,(59),- 32% of the 59 user reviews for this game are positive."
Incursion The Thing,38,Mostly Negative,"Mostly Negative,(18),- 38% of the 18 user reviews for this game are positive."
Quiz Night Tonight!,-1,,"4 user reviews,- Need more user reviews to generate a score"
SnipZ,35,Mostly Negative,"Mostly Negative,(14),- 35% of the 14 user reviews for this game are positive."
Above - VR,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this game are positive."
Midnight Carnival,26,Mostly Negative,"Mostly Negative,(71),- 26% of the 71 user reviews for this game are positive."
NightZ,27,Mostly Negative,"Mostly Negative,(86),- 27% of the 86 user reviews for this game are positive."
Space Beret,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
sZone - Hockey Mask,-1,,"3 user reviews,- Need more user reviews to generate a score"
Our Darkest Night,-1,,"3 user reviews,- Need more user reviews to generate a score"
VR Dungeon,-1,,"8 user reviews,- Need more user reviews to generate a score"
Polterheist,39,Mostly Negative,"Mostly Negative,(178),- 39% of the 178 user reviews for this game are positive."
Wild Unknown,-1,,"6 user reviews,- Need more user reviews to generate a score"
Please,28,Mostly Negative,"Mostly Negative,(14),- 28% of the 14 user reviews for this game are positive."
IQ Test,29,Mostly Negative,"Mostly Negative,(130),- 29% of the 130 user reviews for this game are positive."
CSI VR: Crime Scene Investigation,-1,,"4 user reviews,- Need more user reviews to generate a score"
Infinite Survival,-1,,"5 user reviews,- Need more user reviews to generate a score"
Journey VR,-1,,"4 user reviews,- Need more user reviews to generate a score"
Occultus - Mediterranean Cabal,-1,,"7 user reviews,- Need more user reviews to generate a score"
Seduction 誘惑,21,Mostly Negative,"Mostly Negative,(55),- 21% of the 55 user reviews for this game are positive."
Wolfenstein II: The Freedom Chronicles - Episode 3,34,Mostly Negative,"Mostly Negative,(41),- 34% of the 41 user reviews for this game are positive."
Civilization VI - Nubia Civilization & Scenario Pack,38,Mostly Negative,"Mostly Negative,(267),- 38% of the 267 user reviews for this game are positive."
Tower!2011:SE,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this game are positive."
Aw Nutz,-1,,"5 user reviews,- Need more user reviews to generate a score"
Dirty Fighter 1,-1,,"3 user reviews,- Need more user reviews to generate a score"
Waste Cleaner,-1,,"3 user reviews,- Need more user reviews to generate a score"
Zombidle - Nipply pack,-1,,"4 user reviews,- Need more user reviews to generate a score"
CryptoFarm,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
Apocalypse (Showcase),-1,,"6 user reviews,- Need more user reviews to generate a score"
尸如潮水,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this game are positive."
Rail World,31,Mostly Negative,"Mostly Negative,(44),- 31% of the 44 user reviews for this game are positive."
女神驾到(Happy together),33,Mostly Negative,"Mostly Negative,(640),- 33% of the 640 user reviews for this game are positive."
Police Air Transporter,-1,,"9 user reviews,- Need more user reviews to generate a score"
Cultist Simulator: The Priest,-1,,"7 user reviews,- Need more user reviews to generate a score"
Magic Flight Academy,-1,,"3 user reviews,- Need more user reviews to generate a score"
RPG Maker MV - Tyler Warren RTP Redesign 1,-1,,"4 user reviews,- Need more user reviews to generate a score"
